_time,temperature,pression,vitesse
2025-09-26 05:24:33.867457+00:00,63.93,4.38,1172.01
2025-09-26 05:24:38.870800+00:00,63.93,4.38,1172.01
2025-09-26 05:24:43.872740+00:00,93.48,4.5,565.51
2025-09-26 05:32:57.644453+00:00,0.0,0.0,0.0
2025-09-26 05:33:03.642981+00:00,73.66,0.0,0.0
2025-09-26 05:33:08.646755+00:00,73.66,5.21,0.0
2025-09-26 05:33:13.648435+00:00,78.46,5.21,1029.75
2025-09-26 05:33:18.649758+00:00,78.46,5.21,1029.75
2025-09-26 05:33:23.651277+00:00,75.05,2.81,1029.75
2025-09-26 05:33:28.652893+00:00,75.05,2.81,1029.75
2025-09-26 05:33:33.652529+00:00,96.9,2.81,1260.53
2025-09-26 05:33:38.655544+00:00,96.9,3.76,1260.53
2025-09-26 05:33:43.657417+00:00,83.28,3.76,1260.53
2025-09-26 05:33:48.659432+00:00,83.28,3.76,1260.53
